RankQS,Name,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,score scaled
1201-1400,Universidad de Cuenca,EC,L,FC,MD,5,A,5.6,501+,3.6,501+,5.7,601+,2.1,601+,2.9,601+,1.6,601+,15.7,601+,12.2,601+,-
1201-1400,Universidad de Guanajuato,MX,XL,CO,HI,4,A,7.7,501+,3.4,501+,7.4,601+,3.1,601+,7.1,601+,1.8,601+,22,601+,6.8,601+,-
1201-1400,Universidad de La Frontera (UFRO),CL,M,CO,VH,3,A,8.4,501+,5,501+,3.5,601+,9.2,601+,8.7,601+,1.3,601+,39.2,601+,4.6,601+,-
1201-1400,Universidad de La Salle,CO,M,FO,HI,4,B,5.7,501+,6.2,501+,5.6,601+,1.2,601+,3.8,601+,1.5,601+,4.8,601+,10.9,601+,-
1201-1400,Universidad de La Serena,CL,M,FO,HI,3,A,3.2,501+,3.2,501+,3.2,601+,7.3,601+,6.3,601+,1.3,601+,12.7,601+,5.8,601+,-
1201-1400,Universidad de Las Américas (UDLA) Ecuador,EC,L,CO,MD,3,B,6,501+,8,501+,15.9,601+,1.6,601+,,,,,19.6,601+,18.5,601+,-
1201-1400,Universidad de las Fuerzas Armadas ESPE (Ex - Escuela Politécnica del Ejército),EC,L,CO,HI,5,A,4.7,501+,9.5,501+,8.6,601+,1.7,601+,4.6,601+,1.1,601+,13.6,601+,11.2,601+,-
1201-1400,Universidad de Medellín,CO,M,SP,MD,4,C,6.6,501+,9.2,501+,6,601+,2,601+,4.1,601+,2.3,601+,10.1,601+,9.5,601+,-
1201-1400,Universidad de Panama,PA,XL,FO,MD,4,B,6.4,501+,12.5,501+,4,601+,1.1,601+,4.7,601+,2.5,601+,7.3,601+,1,601+,-
1201-1400,Universidad de Piura,PE,M,FO,MD,4,B,5.6,501+,13.2,501+,4.4,601+,1.2,601+,9.7,601+,1.5,601+,3.8,601+,35.4,365,-
1201-1400,Universidad de Puerto Rico,PR,XL,FC,HI,5,A,9.2,501+,11,501+,9.1,601+,2.5,601+,1.4,601+,1.5,601+,38.5,601+,47.9,265,-
1201-1400,Universidad de San Carlos de Guatemala - USAC,GT,XL,FC,LO,5,A,7.6,501+,12.8,501+,4.3,601+,1,601+,,,,,5.5,601+,24.7,495,-
1201-1400,Universidad de Santander - UDES,CO,L,FO,MD,3,C,3.4,501+,3.2,501+,6.1,601+,1.4,601+,22.2,556,,,12.2,601+,3.7,601+,-
1201-1400,Universidad de Sonora,MX,XL,CO,MD,4,A,4.1,501+,2.1,501+,4.9,601+,1.8,601+,4.1,601+,1.6,601+,8.3,601+,5.6,601+,-
1201-1400,Universidad del Bío-Bío,CL,L,CO,HI,4,A,7.9,501+,4.6,501+,3.2,601+,3.4,601+,10.8,601+,1.4,601+,32.1,601+,4.4,601+,-
1201-1400,Universidad del Cauca,CO,L,CO,MD,5,A,10,501+,4.1,501+,5.7,601+,1.7,601+,25.7,519,1.1,601+,13.9,601+,3.9,601+,-
1201-1400,Universidad del Desarrollo (UDD),CL,L,CO,MD,3,B,5.9,501+,14.5,501+,12.7,601+,2.3,601+,7.7,601+,2.2,601+,16.3,601+,5.1,601+,-
1201-1400,Universidad del Magdalena,CO,L,CO,MD,4,A,4.5,501+,7.2,501+,2.8,601+,1.4,601+,5.9,601+,1.1,601+,5.1,601+,3.8,601+,-
1201-1400,Universidad del Salvador,AR,L,FO,MD,4,B,4.1,501+,9.7,501+,15,601+,1.1,601+,5.9,601+,8.4,601+,1.6,601+,9.9,601+,-
1201-1400,Universidad del Valle de Mexico (UVM),MX,XL,FO,MD,4,C,2.9,501+,17.3,501+,6.1,601+,1,601+,1.2,601+,1.5,601+,2.2,601+,3.9,601+,-
1201-1400,Universidad del Zulia,VE,M,FC,MD,5,A,9.1,501+,11,501+,3.7,601+,2.8,601+,,,,,17,601+,29.6,422,-
1201-1400,Universidad La Salle (ULSA),MX,M,FC,LO,4,C,3.3,501+,16.4,501+,18.4,601+,1.1,601+,3.2,601+,1.6,601+,1.2,601+,7.7,601+,-
1201-1400,Universidad Mayor de San Andrés (UMSA),BO,XL,FC,LO,5,A,6,501+,3.6,501+,1,601+,1.6,601+,8.7,601+,1.1,601+,23.6,601+,1,601+,-
1201-1400,Universidad Metropolitana,VE,M,CO,LO,4,B,8.3,501+,17.6,501+,5,601+,1.1,601+,22.9,545,1.3,601+,,,90.5,67,-
